agent_name,episode,total_reward,urllc_violation_rate,embb_outage_rate,embb_throughput_variance
fixed_rr,42,-4.5,0.02857142857142857,0.007142857142857143,4.9248866213151974e-05
fixed_rr,43,-2.0,0.007142857142857143,0.014285714285714285,9.77891156462586e-05
fixed_rr,44,-3.0,0.014285714285714285,0.014285714285714285,9.77891156462586e-05
fixed_rr,45,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,46,-1.5,0.007142857142857143,0.007142857142857143,4.924886621315199e-05
fixed_rr,47,-3.5,0.02142857142857143,0.007142857142857143,4.924886621315198e-05
fixed_rr,48,0.0,0.0,0.0,0.0
fixed_rr,49,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,50,-3.0,0.014285714285714285,0.014285714285714285,9.778911564625858e-05
fixed_rr,51,-1.0,0.0,0.014285714285714285,9.778911564625857e-05
fixed_rr,52,-2.0,0.014285714285714285,0.0,0.0
fixed_rr,53,-1.0,0.0,0.014285714285714285,9.778911564625857e-05
fixed_rr,54,-3.0,0.014285714285714285,0.014285714285714285,9.778911564625856e-05
fixed_rr,55,0.0,0.0,0.0,0.0
fixed_rr,56,-7.0,0.04285714285714286,0.014285714285714285,9.77891156462586e-05
fixed_rr,57,0.0,0.0,0.0,0.0
fixed_rr,58,-2.0,0.014285714285714285,0.0,0.0
fixed_rr,59,0.0,0.0,0.0,0.0
fixed_rr,60,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,61,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,62,-1.0,0.0,0.014285714285714285,9.77891156462586e-05
fixed_rr,63,0.0,0.0,0.0,0.0
fixed_rr,64,-1.0,0.0,0.014285714285714285,9.77891156462586e-05
fixed_rr,65,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,66,-1.0,0.0,0.014285714285714285,9.77891156462586e-05
fixed_rr,67,-1.0,0.0,0.014285714285714285,9.77891156462586e-05
fixed_rr,68,-3.5,0.02142857142857143,0.007142857142857143,4.9248866213151974e-05
fixed_rr,69,-4.0,0.02142857142857143,0.014285714285714285,9.77891156462586e-05
fixed_rr,70,-3.5,0.02142857142857143,0.007142857142857143,4.9248866213151974e-05
fixed_rr,71,-2.0,0.007142857142857143,0.014285714285714285,9.778911564625856e-05
fixed_rr,72,-2.0,0.007142857142857143,0.014285714285714285,9.77891156462586e-05
fixed_rr,73,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,74,-2.0,0.014285714285714285,0.0,0.0
fixed_rr,75,-1.5,0.007142857142857143,0.007142857142857143,4.9248866213151974e-05
fixed_rr,76,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,77,-1.5,0.007142857142857143,0.007142857142857143,4.924886621315199e-05
fixed_rr,78,0.0,0.0,0.0,0.0
fixed_rr,79,-2.5,0.014285714285714285,0.007142857142857143,4.924886621315197e-05
fixed_rr,80,0.0,0.0,0.0,0.0
fixed_rr,81,0.0,0.0,0.0,0.0
fixed_rr,82,-2.5,0.014285714285714285,0.007142857142857143,4.924886621315198e-05
fixed_rr,83,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,84,-3.0,0.014285714285714285,0.014285714285714285,9.77891156462586e-05
fixed_rr,85,-3.5,0.014285714285714285,0.02142857142857143,0.00014562074829931987
